"CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12","CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href","CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32","TagStyle__TagContent-sc-66xi2f-0","TagStyle__TagContentWrapper-sc-r1wv7a-1","TagStyle__TagContentWrapper-sc-r1wv7a-1 2","TagStyle__TagContentWrapper-sc-r1wv7a-1 3","TagStyle__TagContentWrapper-sc-r1wv7a-1 4","TagStyle__TagContentWrapper-sc-r1wv7a-1 5","ThumborImagesc__CustomImage-sc-1uzwahj-0 src","stylessc__ShieldBadge-sc-1cbkdr9-1 src","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 3","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 3","CompactOpportunityCardsc__UpdatedAtMessage-sc-dkg8my-26"
"System Analyst - Banking Industry","https://glints.com/id/opportunities/jobs/system-analyst-banking-industry/837b2b2f-55b3-4ead-baec-7e39aec4c965?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","Rp 10 jt-13 jt","Perusahaan Premium","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","System Analysis","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png","https://glints.com/images/icons/vip-badge.svg","PT Sigma Global Teknologi","https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae","Tanah Abang","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/tanah-abang","Jakarta Pusat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","1 bulan yang lalu"
"Business Analyst (Pricing Analyst)","https://glints.com/id/opportunities/jobs/business-analyst-pricing-analyst/1e93be99-5d6f-431d-8774-69ee04850368?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","Rp 7 jt-13 jt","","Remote/Dari rumah","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","+8","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f1e1863afc1a8f852befa3b5687041f5.jpg","","Y Ventures Group Ltd.","https://glints.com/id/companies/y-ventures-group-ltd/4d9d65d6-f46b-4e4b-9ddb-c69db63dc223","Kebayoran Baru","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/kebayoran-baru","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","16 hari yang lalu"
"Data Engineer","https://glints.com/id/opportunities/jobs/data-engineer/ec83d688-5efd-4025-a5a6-91a4c5f218c7?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","Rp 5,5 jt-7,5 jt","","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Java","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/aeae5ee7a31258171d8286a9dfb23d01.jpg","","PT Data Labs Analytics","https://glints.com/id/companies/pt-data-labs-analytics/3cb2fc92-abaf-49d2-be8a-87f6a1a2c602","Tanah Abang","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/tanah-abang","Jakarta Pusat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","1 jam yang lalu"
"Data Engineer","https://glints.com/id/opportunities/jobs/data-engineer/d5e481e3-cb54-4196-a6d6-792bf2799360?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","Rp 10 jt-20 jt","","Kontrak","3 – 5 tahun","Minimal Sarjana (S1)","SQL","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/c5d9f3a15733d2d43a5b19bae2c82738.png","","PT. Dynamics Management Solution","https://glints.com/id/companies/pt-dynamics-management-solution/96b1c444-1fa5-4935-b3a3-c9868d972f9c","Kebayoran Baru","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/kebayoran-baru","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","2 hari yang lalu"
"Data Engineer","https://glints.com/id/opportunities/jobs/data-engineer/d2b08f5a-556f-474c-872b-95998ffc9518?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","Rp 12 jt-14 jt","","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","Microsoft SQL Server","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/38038f81ca6c4d4d64e90422b84b4d64.png","","Indivara Teknologi Quantum","https://glints.com/id/companies/indivara-teknologi-quantum/4a75ab03-8184-467e-af94-864462e09a23","Taman Sari","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/taman-sari","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","5 hari yang lalu"
"Data Governance","https://glints.com/id/opportunities/jobs/data-governance/c87d2e9d-a306-42b4-85da-42ad339046b1?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","Rp 10 jt-13 jt","","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","IT Security","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/38038f81ca6c4d4d64e90422b84b4d64.png","","Indivara Teknologi Quantum","https://glints.com/id/companies/indivara-teknologi-quantum/4a75ab03-8184-467e-af94-864462e09a23","Taman Sari","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/taman-sari","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","5 hari yang lalu"
"Data Engineer - Banking","https://glints.com/id/opportunities/jobs/data-engineer-banking/716f686d-26ff-4215-b14e-f901d65ffeb3?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","Rp 8 jt-9 jt","Perusahaan Premium","Kontrak","3 – 5 tahun","Minimal Sarjana (S1)","Visual Studio .net","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png","https://glints.com/images/icons/vip-badge.svg","PT Sigma Global Teknologi","https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","20 hari yang lalu"
"Data Engineer","https://glints.com/id/opportunities/jobs/data-engineer/5571c8a4-40a3-4c10-8170-b0de1c205269?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","Rp 6,5 jt-10 jt","","Remote/Dari rumah","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/5aa44b46a1340f274d8021d17d09c672.png","","XCIDIC","https://glints.com/id/companies/xcidic/35e0e91f-c64b-42c1-bf25-3384bea571ce","Kembangan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/kembangan","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","23 hari yang lalu"
"System Analyst","https://glints.com/id/opportunities/jobs/system-analyst/56864d56-06c2-4597-9df7-a3d209b325f8?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","Rp 8 jt-12 jt","","Hybrid","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/70e1c085e390061ce5081843d0086337.jpeg","","PT Digitalinstincts Technology","https://glints.com/id/companies/pt-digitalinstincts-technology/86158215-68f1-49d3-a5c7-c1eb3f5a45e9","Kelapa Gading","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara/kelapa-gading","Jakarta Utara","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","7 hari yang lalu"
"DATA ENGINEER","https://glints.com/id/opportunities/jobs/data-engineer/e0a5c470-1684-420d-a09a-221500192e30?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","Rp 7 jt-15 jt","","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","Loading (etl)","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/077c15e429d92407675c40704d7d9cf6.jpeg","","PT. Kulego Tiga Kreasi","https://glints.com/id/companies/pt-kulego-tiga-kreasi/39d6b668-7633-4a7d-a279-f209740a71f5","Grogol Petamburan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/grogol-petamburan","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","1 bulan yang lalu"
