"CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12","CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href","TagStyle__TagContent-sc-66xi2f-0","TagStyle__TagContentWrapper-sc-r1wv7a-1","TagStyle__TagContentWrapper-sc-r1wv7a-1 2","TagStyle__TagContentWrapper-sc-r1wv7a-1 3","TagStyle__TagContentWrapper-sc-r1wv7a-1 4","TagStyle__TagContentWrapper-sc-r1wv7a-1 5","ThumborImagesc__CustomImage-sc-1uzwahj-0 src","stylessc__ShieldBadge-sc-1cbkdr9-1 src","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 3","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 3","CompactOpportunityCardsc__UpdatedAtMessage-sc-dkg8my-26","CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32"
"IT System Analyst","https://glints.com/id/opportunities/jobs/it-system-analyst/7e6cc32c-3ce6-415f-a1b4-501a854c26dc?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","Perusahaan Premium","Kontrak","1 – 3 tahun","Minimal Sarjana (S1)","SQL","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/eecafe2ce82ce6e39bae82fafe897c4c.png","https://glints.com/images/icons/vip-badge.svg","PT. Transcosmos Indonesia","https://glints.com/id/companies/pt-transcosmos-indonesia/bb80186e-bc5f-48d4-963c-71349fe08acf","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","Kemarin",""
"IT Business Analyst","https://glints.com/id/opportunities/jobs/it-business-analyst/dc059ddb-f0ee-440a-bd37-cdca7531bed6?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Kontrak","3 – 5 tahun","Minimal Diploma (D1 - D4)","Brd","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ab8b71c58f6883f650f549b3b9bb4eb6.jpg","","Pt. Tiga Daya Digital Indonesia","https://glints.com/id/companies/pt-tiga-daya-digital-indonesia/54dd0fb0-5873-4bf9-b5e9-b1939efef446","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","Kemarin","Rp 10 jt-18 jt"
"IT Business Analyst","https://glints.com/id/opportunities/jobs/it-business-analyst/372e7ddc-5a34-46ca-b1db-56cab8af0d6c?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","Perusahaan Premium","Kontrak","1 – 3 tahun","Minimal Sarjana (S1)","Teamwork","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ef674468446e36198da02a498fad33da.png","https://glints.com/images/icons/vip-badge.svg","PT. Mandiri International Technology","https://glints.com/id/companies/pt-mandiri-international-technology/4cc92fae-eb04-42eb-a2e0-be7770866e04","Pancoran","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/pancoran","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","2 hari yang lalu","Rp 5,5 jt-10 jt"
"Business Risk Analyst","https://glints.com/id/opportunities/jobs/business-risk-analyst/e08a2422-8813-4b50-b63a-3ce85fc791b2?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Remote/Dari rumah","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/6ef84d7cb62101c2d400cd8ec868dc4a.png","","Confirmis Holdings","https://glints.com/id/companies/confirmis-holdings/8c30898b-b7cd-406e-bd56-83f0b09e45f7","Gambir","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/gambir","Jakarta Pusat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","3 hari yang lalu","Rp 6 jt-6,5 jt"
"IT Business Process Analyst","https://glints.com/id/opportunities/jobs/it-business-process-analyst/0a7998b4-fba7-4088-b6de-4f947f2934c9?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","Perusahaan Premium","Kontrak","1 – 3 tahun","Minimal Sarjana (S1)","Product Development","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png","https://glints.com/images/icons/vip-badge.svg","PT Sigma Global Teknologi","https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae","Cakung","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur/cakung","Jakarta Timur","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","20 hari yang lalu","Rp 6,5 jt-7 jt"
"Product Marketing Analyst","https://glints.com/id/opportunities/jobs/product-marketing-analyst/bd86d05f-1cab-486d-8720-048c58d2bd15?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Communication Skills","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/93bbdaf15958d2c02f4506745494cae6.png","","PT AKARI Indonesia","https://glints.com/id/companies/pt-akari-indonesia/d94d75ba-3510-47ef-b96a-9f1bb5368ca5","Kemayoran","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/kemayoran","Jakarta Pusat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","6 hari yang lalu","Rp 5 jt-6 jt"
"IT Business Analyst Supervisor","https://glints.com/id/opportunities/jobs/it-business-analyst-supervisor/fbdd03f9-c807-4136-a0af-ba9d0f38ade9?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","Perusahaan Premium","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","Business Analyst","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/d39327a049eb1bbdc5c1b5cabb723623.png","https://glints.com/images/icons/vip-badge.svg","PT Tunas Ridean, Tbk","https://glints.com/id/companies/pt-tunas-ridean-tbk/281f9952-3b0f-4336-897b-be0a15d2e215","Pancoran","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/pancoran","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","22 hari yang lalu","Rp 5 jt-10 jt"
"System Analyst","https://glints.com/id/opportunities/jobs/system-analyst/06f3d507-7c16-4682-ac79-a721b353df08?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","Perusahaan Premium","Penuh Waktu","1 – 3 tahun","Minimal Diploma (D1 - D4)","UML","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/5579b6a466f477d7e787e054ac604d79.jpg","https://glints.com/images/icons/vip-badge.svg","PT Inova Medika Solusindo","https://glints.com/id/companies/pt-inova-medika-solusindo/d3f5ff95-95c2-47de-9e23-dd2a5f71ecd6","Samarinda Ulu","https://glints.com/id/job-location/indonesia/kalimantan-timur/samarinda/samarinda-ulu","Samarinda","https://glints.com/id/job-location/indonesia/kalimantan-timur/samarinda","Kalimantan Timur","https://glints.com/id/job-location/indonesia/kalimantan-timur","19 hari yang lalu","Rp 3,5 jt-4,5 jt"
"Financial Planning Analyst","https://glints.com/id/opportunities/jobs/financial-planning-analyst/079d2c14-7b1d-47b0-b2d6-01fb4b5a88ab?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Penuh Waktu","5 – 10 tahun","Minimal Sarjana (S1)","Microsoft Excel","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/8294706e239f673e63b46b25e07f1404.jpg","","PT Jola Mitra Utama (Yogyakarta)","https://glints.com/id/companies/pt-jola-mitra-utama-yogyakarta/be862141-af2a-4d25-8682-ed0fc0b2dd81","Kemayoran","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/kemayoran","Jakarta Pusat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","14 hari yang lalu","Rp 20 jt-25 jt"
"Data Engineer (Remote)","https://glints.com/id/opportunities/jobs/data-engineer-remote/2b3e6e47-2c40-44f5-9c53-c4723f8f9086?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Remote/Dari rumah","Kontrak","3 – 5 tahun","Minimal Sarjana (S1)","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3c4a679eba5753220b5ccf0e6aa703d5.jpg","","Pt Medika Digital Nusantara","https://glints.com/id/companies/pt-medika-digital-nusantara/2f48b33c-d784-4501-b88b-e48e4a291f8e","Kapanewon Depok","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja/kab-sleman/kapanewon-depok","Kab. Sleman","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja/kab-sleman","DI Yogyakarta","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja","20 hari yang lalu","Rp 5 jt-8 jt"
