"CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12","CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href","CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32","TagStyle__TagContentWrapper-sc-r1wv7a-1","TagStyle__TagContentWrapper-sc-r1wv7a-1 2","TagStyle__TagContentWrapper-sc-r1wv7a-1 3","TagStyle__TagContentWrapper-sc-r1wv7a-1 4","TagStyle__TagContentWrapper-sc-r1wv7a-1 5","ThumborImagesc__CustomImage-sc-1uzwahj-0 src","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 3","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 3","CompactOpportunityCardsc__UpdatedAtMessage-sc-dkg8my-26"
"Data Analis","https://glints.com/id/opportunities/jobs/data-analis/14a14518-7fb8-43d9-a86d-3c38b639351b?utm_referrer=explore&traceInfo=9c2a07dc-3340-49c4-a933-b46abbe2c170","Rp 4,5 jt-6 jt","Kontrak","1 – 3 tahun","Minimal Sarjana (S1)","Statistical Data Analysis","+4","https://glints.com/images/default-company-logo.webp","Senikersku","https://glints.com/id/companies/senikersku/81cba77b-68ed-4c78-a87b-2dd1a25334f8","Mulyorejo","https://glints.com/id/job-location/indonesia/jawa-timur/surabaya/mulyorejo","Surabaya","https://glints.com/id/job-location/indonesia/jawa-timur/surabaya","Jawa Timur","https://glints.com/id/job-location/indonesia/jawa-timur","16 hari yang lalu"
"Data Analis","https://glints.com/id/opportunities/jobs/data-analis/8c464196-d422-4b52-bbd5-01538470233e?utm_referrer=explore&traceInfo=9c2a07dc-3340-49c4-a933-b46abbe2c170","","Penuh Waktu","1 – 3 tahun","Minimal SMA/SMK","Python","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/5ab4e7bd687843f621ce9d3580f785e4.png","datapinter.com","https://glints.com/id/companies/datapintercom/b0442cc5-557b-4fb7-ba60-01c2ca2db818","Kelapa Dua","https://glints.com/id/job-location/indonesia/banten/kab-tangerang/kelapa-dua","Kab. Tangerang","https://glints.com/id/job-location/indonesia/banten/kab-tangerang","Banten","https://glints.com/id/job-location/indonesia/banten","17 hari yang lalu"
"Analis Data","https://glints.com/id/opportunities/jobs/analis-data/8a27df1c-7178-4020-ae14-592742be060e?utm_referrer=explore&traceInfo=9c2a07dc-3340-49c4-a933-b46abbe2c170","Rp 3,7 jt-4 jt","Penuh Waktu","1 – 3 tahun","Minimal Diploma (D1 - D4)","Microsoft Excel","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3a42b62d65878189871e3c468797791d.jpg","Pt. Anyar Retail Indonesia","https://glints.com/id/companies/pt-anyar-retail-indonesia/74c89a4a-ddbc-48bd-ae98-e4dde83bd2ab","Rancaekek","https://glints.com/id/job-location/indonesia/jawa-barat/kab-bandung/rancaekek","Kab. Bandung","https://glints.com/id/job-location/indonesia/jawa-barat/kab-bandung","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","20 hari yang lalu"
"Data Analyst","https://glints.com/id/opportunities/jobs/data-analyst/ef74dec8-e05e-42b8-a0b3-4200efc05c93?utm_referrer=explore&traceInfo=9c2a07dc-3340-49c4-a933-b46abbe2c170","Rp 1,1 jt-1,1 jt","Hybrid","Magang","Kurang dari setahun","Minimal Sarjana (S1)","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/8b17bdfdc91218b22a723c953f9388a2.png","Hakuhodo Digital Indonesia","https://glints.com/id/companies/hakuhodo-digital-indonesia/45bfacbc-3092-4548-810b-72e67916ca76","Kebayoran Baru","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/kebayoran-baru","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","23 hari yang lalu"
"Sales Data Analyst","https://glints.com/id/opportunities/jobs/sales-data-analyst/53678d6e-650a-4e4a-bff7-c9cea900ea91?utm_referrer=explore&traceInfo=9c2a07dc-3340-49c4-a933-b46abbe2c170","Rp 8 jt-10 jt","Penuh Waktu","Kurang dari setahun","Minimal Sarjana (S1)","SQL","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f3a3661faf2f7854fcda8bf9d9f3379d.jpg","Momoyo Indonesia","https://glints.com/id/companies/momoyo-indonesia/ff88db05-893c-4602-a860-b64846dcb240","Penjaringan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara/penjaringan","Jakarta Utara","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","2 hari yang lalu"
"Data Analyst & Support","https://glints.com/id/opportunities/jobs/data-analyst-and-support/eb7797f7-8596-4670-bd57-f595d9b42f1c?utm_referrer=explore&traceInfo=9c2a07dc-3340-49c4-a933-b46abbe2c170","Rp 4 jt-6 jt","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Teamwork","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/a603f19ce96a09a0f1b1300f057d6656.jpeg","PT OSHKU PANGAN INDONESIA","https://glints.com/id/companies/pt-oshku-pangan-indonesia/9dfd5693-86c4-410e-8fab-6309ba3d5099","Grogol Petamburan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/grogol-petamburan","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","6 hari yang lalu"
"Data Analyst Intern","https://glints.com/id/opportunities/jobs/data-analyst-intern/8a1a3f47-e2fa-46c0-815d-5b886c6abd96?utm_referrer=explore&traceInfo=9c2a07dc-3340-49c4-a933-b46abbe2c170","Rp 2 jt-2,5 jt","Magang","Minimal Sarjana (S1)","Microsoft Excel","Data Analytics","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/78abe03f4447e48bd93524d8d181d19f.png","AUCTUS","https://glints.com/id/companies/auctus/6c836aee-bf61-4454-875a-e3f677596be8","Kebayoran Baru","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/kebayoran-baru","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","14 hari yang lalu"
"Data Analis","https://glints.com/id/opportunities/jobs/data-analis/5a4dc0d5-226f-4cbb-96fa-88a4287bc44c?utm_referrer=explore&traceInfo=9c2a07dc-3340-49c4-a933-b46abbe2c170","Rp 3,4 jt-3,9 jt","Penuh Waktu","1 – 3 tahun","Minimal Diploma (D1 - D4)","Statistical Data Analysis","+4","https://glints.com/images/default-company-logo.webp","CV. Indo Sejahtera Abadi","https://glints.com/id/companies/cv-indo-sejahtera-abadi/631c6d45-fe1e-4e3d-b39d-b059818337ef","Rungkut","https://glints.com/id/job-location/indonesia/jawa-timur/surabaya/rungkut","Surabaya","https://glints.com/id/job-location/indonesia/jawa-timur/surabaya","Jawa Timur","https://glints.com/id/job-location/indonesia/jawa-timur","3 hari yang lalu"
"Data Analis","https://glints.com/id/opportunities/jobs/data-analis/efbb84fe-6b43-4594-a12d-7192e9989184?utm_referrer=explore&traceInfo=9c2a07dc-3340-49c4-a933-b46abbe2c170","Rp 2,4 jt-3 jt","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Statistical Data Analysis","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/bea63a96014fb853b03245a21b90155f.jpg","Dua Naga Corporation","https://glints.com/id/companies/dua-naga-corporation/6f7f8fb7-b161-48c1-bdc3-4cb947a7a5d7","Gatak","https://glints.com/id/job-location/indonesia/jawa-tengah/kab-sukoharjo/gatak","Kab. Sukoharjo","https://glints.com/id/job-location/indonesia/jawa-tengah/kab-sukoharjo","Jawa Tengah","https://glints.com/id/job-location/indonesia/jawa-tengah","5 hari yang lalu"
"Data Analis","https://glints.com/id/opportunities/jobs/data-analis/e733d2c9-4231-45cf-a2af-1fc59024feaf?utm_referrer=explore&traceInfo=9c2a07dc-3340-49c4-a933-b46abbe2c170","Rp 2 jt-3 jt","Kontrak","Kurang dari setahun","Minimal Diploma (D1 - D4)","Statistical Data Analysis","+8","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/b655e1391cded344e46f5bed401b0967.jpeg","PT Sahabat Peternak Indonesia","https://glints.com/id/companies/pt-sahabat-peternak-indonesia/550486f4-c2ee-4699-9010-bdbe017ae64f","Gubeng","https://glints.com/id/job-location/indonesia/jawa-timur/surabaya/gubeng","Surabaya","https://glints.com/id/job-location/indonesia/jawa-timur/surabaya","Jawa Timur","https://glints.com/id/job-location/indonesia/jawa-timur","7 hari yang lalu"
