"CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12","CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href","CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32","TagStyle__TagContent-sc-66xi2f-0","TagStyle__TagContentWrapper-sc-r1wv7a-1","TagStyle__TagContentWrapper-sc-r1wv7a-1 2","TagStyle__TagContentWrapper-sc-r1wv7a-1 3","TagStyle__TagContentWrapper-sc-r1wv7a-1 4","TagStyle__TagContentWrapper-sc-r1wv7a-1 5","ThumborImagesc__CustomImage-sc-1uzwahj-0 src","stylessc__ShieldBadge-sc-1cbkdr9-1 src","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 3","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 3","CompactOpportunityCardsc__UpdatedAtMessage-sc-dkg8my-26"
"Data Analyst","https://glints.com/id/opportunities/jobs/data-analyst/9f589b0e-a674-407d-8597-7ddf1151111d?utm_referrer=explore&traceInfo=643917d1382e063fade031e95c22af8b","Rp 6 jt-8 jt","Perusahaan Premium","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","Berbahasa English Aktif","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/81c7797140cdc8bc1843f949792bb1f7.png","https://glints.com/images/icons/vip-badge.svg","PT Holy Maju Sejahtera Sentosa","https://glints.com/id/companies/pt-holy-maju-sejahtera-sentosa/7578a8d6-ac72-46bb-9aa4-976892e9f66f","Penjaringan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara/penjaringan","Jakarta Utara","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","28 hari yang lalu"
"Data Analyst","https://glints.com/id/opportunities/jobs/data-analyst/24498e13-f65e-469a-9b3f-206ad5cb9aee?utm_referrer=explore&traceInfo=643917d1382e063fade031e95c22af8b","Rp 4 jt-4,9 jt","","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","Data Analytics","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/de376284b15cad2660cb7b4657f0ada2.jpeg","","PT Solusi Sinergi Digital Tbk (Surge)","https://glints.com/id/companies/pt-solusi-sinergi-digital-tbk-surge/b4edeff0-f225-4f1e-9cec-7927119d4a02","Cilandak","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/cilandak","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","14 hari yang lalu"
"Data Analyst","https://glints.com/id/opportunities/jobs/data-analyst/24e10ae1-c0b3-408e-b07c-383e71cd0895?utm_referrer=explore&traceInfo=643917d1382e063fade031e95c22af8b","Rp 4,8 jt-5 jt","","Kontrak","Kurang dari setahun","Minimal Sarjana (S1)","Data Entry","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/b73960c455bd519809dbc83d04648606.png","","Pt Graha Perdana Indah (gardens At Candi Sawangan)","https://glints.com/id/companies/pt-graha-perdana-indah-gardens-at-candi-sawangan/5279fbc4-d08c-450a-959c-6bd43c563002","Sawangan","https://glints.com/id/job-location/indonesia/jawa-barat/depok/sawangan","Depok","https://glints.com/id/job-location/indonesia/jawa-barat/depok","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","24 hari yang lalu"
"Data Analyst","https://glints.com/id/opportunities/jobs/data-analyst/93f68910-c4b8-4dc6-98d9-3468b4533179?utm_referrer=explore&traceInfo=643917d1382e063fade031e95c22af8b","","Perusahaan Premium","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Office Administration","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/6a5aa92537327b5218c607065fb35c10.jpg","https://glints.com/images/icons/vip-badge.svg","PT MITRA HUB INDONESIA","https://glints.com/id/companies/pt-mitra-hub-indonesia/0c4dad1c-d4ba-4415-bf69-eb15ce3736ef","Kebayoran Baru","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/kebayoran-baru","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","10 hari yang lalu"
"Data Analyst Management","https://glints.com/id/opportunities/jobs/data-analyst-management/c330f7d6-6dd4-42c1-b1da-9e9cb44b36e4?utm_referrer=explore&traceInfo=643917d1382e063fade031e95c22af8b","","Perusahaan Premium","Penuh Waktu","3 – 5 tahun","Minimal Diploma (D1 - D4)","Data Analytics","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/92073ef682bc65e3bdebb06241f9733a.jpg","https://glints.com/images/icons/vip-badge.svg","PT Indocitra Pacific (Pestcare)","https://glints.com/id/companies/pt-indocitra-pacific-pestcare/4ff2f3d8-e69c-4037-b05c-6c70d5049b6a","Palmerah","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/palmerah","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","Kemarin"
"DATA ANALYST","https://glints.com/id/opportunities/jobs/data-analyst/38e3d63e-db4b-4f8d-a6d5-a4444f583683?utm_referrer=explore&traceInfo=643917d1382e063fade031e95c22af8b","Rp 4 jt-4,9 jt","","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","Data Analytics","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/a19cc4dc9224b06c5e56f5e83b688bd6.png","","PT Duta Trisarana Prima","https://glints.com/id/companies/pt-duta-trisarana-prima/881ff761-929e-4d0d-8aee-efb66bbdb3e3","Krembangan","https://glints.com/id/job-location/indonesia/jawa-timur/surabaya/krembangan","Surabaya","https://glints.com/id/job-location/indonesia/jawa-timur/surabaya","Jawa Timur","https://glints.com/id/job-location/indonesia/jawa-timur","16 hari yang lalu"
"Marketing Data Analyst","https://glints.com/id/opportunities/jobs/marketing-data-analyst/d3e427cd-9d98-43c1-9eaa-6fd08ab41615?utm_referrer=explore&traceInfo=643917d1382e063fade031e95c22af8b","Rp 5 jt-9,5 jt","Perusahaan Premium","Hybrid","Kontrak","3 – 5 tahun","Minimal Sarjana (S1)","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/eecafe2ce82ce6e39bae82fafe897c4c.png","https://glints.com/images/icons/vip-badge.svg","PT. Transcosmos Indonesia","https://glints.com/id/companies/pt-transcosmos-indonesia/bb80186e-bc5f-48d4-963c-71349fe08acf","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","1 bulan yang lalu"
"Data Analis","https://glints.com/id/opportunities/jobs/data-analis/a43a4ea6-9018-4910-bafd-ed7c11a29643?utm_referrer=explore&traceInfo=643917d1382e063fade031e95c22af8b","Rp 4 jt-4,9 jt","","Penuh Waktu","1 – 3 tahun","Minimal SMA/SMK","Data Analytics","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f168c2ce46558eea8bf41636a9d97f8a.png","","MyFundAction Indonesia","https://glints.com/id/companies/myfundaction-indonesia/809ad27e-9f95-4f74-bfb1-8047c336c2f5","Tanah Abang","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/tanah-abang","Jakarta Pusat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","9 hari yang lalu"
"Data Analyst","https://glints.com/id/opportunities/jobs/data-analyst/8a25db99-b27e-4957-a17b-5c0b4cb6487b?utm_referrer=explore&traceInfo=643917d1382e063fade031e95c22af8b","Rp 4 jt-4,5 jt","","Hybrid","Kontrak","Kurang dari setahun","Minimal Sarjana (S1)","+8","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/0782417bc999577465f9b0d9e7c2afe0.png","","Proton Media Indonesia","https://glints.com/id/companies/proton-media-indonesia/9a30f5d7-d529-4277-b49e-85db370946ae","Cilandak","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/cilandak","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","8 hari yang lalu"
"Data Analyst","https://glints.com/id/opportunities/jobs/data-analyst/44b00a8f-c353-4ed5-b9e4-8e5c011953e3?utm_referrer=explore&traceInfo=643917d1382e063fade031e95c22af8b","Rp 7 jt-10 jt","","Penuh Waktu","Kurang dari setahun","Minimal Sarjana (S1)","SQL","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/5713e11ee5d0379678e99f93ebfb4ee4.png","","PT Cerita Kreatif Indonesia","https://glints.com/id/companies/pt-cerita-kreatif-indonesia/31ab8e1b-252e-413c-8f75-d4f031bd742a","Grogol Petamburan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/grogol-petamburan","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","8 hari yang lalu"
"Data Analyst","https://glints.com/id/opportunities/jobs/data-analyst/bcefd7b5-2a3e-4b0d-8bed-a67eb2cbe1b4?utm_referrer=explore&traceInfo=643917d1382e063fade031e95c22af8b","Rp 3 jt-5 jt","Perusahaan Premium","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Teliti","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f7c06d2676238a30267381aaa38f306b.png","https://glints.com/images/icons/vip-badge.svg","Solusi Sehat Makmur","https://glints.com/id/companies/solusi-sehat-makmur/14bfdd55-5a2b-43d5-b2ac-028582a39196","Kapanewon Ngaglik","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja/kab-sleman/kapanewon-ngaglik","Kab. Sleman","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja/kab-sleman","DI Yogyakarta","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja","8 hari yang lalu"
"Data Analyst","https://glints.com/id/opportunities/jobs/data-analyst/19532146-eef2-4875-8e19-9f6612fe7d02?utm_referrer=explore&traceInfo=643917d1382e063fade031e95c22af8b","","Perusahaan Premium","Kontrak","Kurang dari setahun","Minimal Sarjana (S1)","Presentation Skills","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/34181ed7097881edee812f4d9b1e9e4d.png","https://glints.com/images/icons/vip-badge.svg","PT. Ebdesk Teknologi","https://glints.com/id/companies/pt-ebdesk-teknologi/b152ed68-e27f-4c07-91a3-922ae1aafc09","Pondok Aren","https://glints.com/id/job-location/indonesia/banten/tangerang-selatan/pondok-aren","Tangerang Selatan","https://glints.com/id/job-location/indonesia/banten/tangerang-selatan","Banten","https://glints.com/id/job-location/indonesia/banten","16 hari yang lalu"
"Data Analyst","https://glints.com/id/opportunities/jobs/data-analyst/ff3cdf7c-86f2-48e2-b28b-6361ee4ed434?utm_referrer=explore&traceInfo=643917d1382e063fade031e95c22af8b","Rp 3,5 jt-5 jt","","Penuh Waktu","1 – 3 tahun","Minimal Diploma (D1 - D4)","Big Data Analysis","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/8242abc8e000a6ae97b9580b1f859937.png","","Aestech","https://glints.com/id/companies/aestech/a771df2d-e87c-4aad-aaf1-78230a8a72bb","Batununggal","https://glints.com/id/job-location/indonesia/jawa-barat/bandung/batununggal","Bandung","https://glints.com/id/job-location/indonesia/jawa-barat/bandung","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","27 hari yang lalu"
"Data Analis","https://glints.com/id/opportunities/jobs/data-analis/e196e9c6-8ecb-4593-bdb4-152580dcda41?utm_referrer=explore&traceInfo=643917d1382e063fade031e95c22af8b","Rp 3 jt-5 jt","Perusahaan Premium","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Marketing Analytics","+9","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/9378ab12e43b1b3591914dc5f7de830a.png","https://glints.com/images/icons/vip-badge.svg","Malilkids","https://glints.com/id/companies/malilkids/491d867c-ccf8-485d-aefa-454e2ba09217","Parongpong","https://glints.com/id/job-location/indonesia/jawa-barat/kab-bandung-barat/parongpong","Kab. Bandung Barat","https://glints.com/id/job-location/indonesia/jawa-barat/kab-bandung-barat","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","20 hari yang lalu"
"Data Analyst - Snowflake","https://glints.com/id/opportunities/jobs/data-analyst-snowflake/33620116-8022-4c9b-986f-077f75a043e0?utm_referrer=explore&traceInfo=643917d1382e063fade031e95c22af8b","Rp 10 jt-20 jt","","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","Data Analytics","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/1321e5cb93c4d4a4d49e26b67f70b1f7.jpg","","Proxima Konsultan Indonesia","https://glints.com/id/companies/proxima-konsultan-indonesia/e1240250-f1ea-43b1-981f-2a335fb99d4b","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","14 hari yang lalu"
