CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12,CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href,CompactOpportunityCardsc__NotDisclosedMessage-sc-dkg8my-27,TagStyle__TagContent-sc-66xi2f-0,TagStyle__TagContentWrapper-sc-r1wv7a-1,TagStyle__TagContentWrapper-sc-r1wv7a-1 2,TagStyle__TagContentWrapper-sc-r1wv7a-1 3,TagStyle__TagContentWrapper-sc-r1wv7a-1 4,TagStyle__TagContentWrapper-sc-r1wv7a-1 5,ThumborImagesc__CustomImage-sc-1uzwahj-0 src,stylessc__ShieldBadge-sc-1cbkdr9-1 src,CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14,CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 3,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 3,CompactOpportunityCardsc__UpdatedAtMessage-sc-dkg8my-26,CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32
Business analyst or Data Engineer,https://glints.com/id/opportunities/jobs/business-analyst-or-data-engineer/fc610119-0ea5-4973-a910-faa2540a3dcc?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,Gaji Tidak Ditampilkan,Perusahaan Premium,Kontrak,5 – 10 tahun,Minimal Sarjana (S1),Toefl,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/9a3167a0f38636417f6c6cb6c6c3b37b.png,https://glints.com/images/icons/vip-badge.svg,PT Pasti Makmur Abadi,https://glints.com/id/companies/pt-pasti-makmur-abadi/c9e01acf-13d3-4cdd-9791-fd8ad1a118bb,Setiabudi,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,Kemarin,
Real Time Data Analyst,https://glints.com/id/opportunities/jobs/real-time-data-analyst/32e9e60c-99f6-4bf3-960a-89c1c7d2bb97?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,Perusahaan Premium,Penuh Waktu,Kurang dari setahun,Minimal Sarjana (S1),Teamwork,6,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f5bde422d0426da75052180fe829a7a0.png,https://glints.com/images/icons/vip-badge.svg,Gear Inc. Indonesia,https://glints.com/id/companies/gear-inc-indonesia/819b2b39-d727-43e6-b7fe-26b977b03bf3,Suko Manunggal,https://glints.com/id/job-location/indonesia/jawa-timur/surabaya/suko-manunggal,Surabaya,https://glints.com/id/job-location/indonesia/jawa-timur/surabaya,Jawa Timur,https://glints.com/id/job-location/indonesia/jawa-timur,1 bulan yang lalu,"Rp 4,5 jt-6,5 jt"
Data Engineer,https://glints.com/id/opportunities/jobs/data-engineer/c2e9d225-5c47-4b45-a27b-fef42e695bf3?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Linux System Administration,4,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png,https://glints.com/images/icons/vip-badge.svg,PT Sigma Global Teknologi,https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae,Kemayoran,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/kemayoran,Jakarta Pusat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,15 hari yang lalu,"Rp 6 jt-7,7 jt"
Part Analyst,https://glints.com/id/opportunities/jobs/part-analyst/146b6e65-c8d8-4b93-a5a2-43a56a86da92?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),ERP Software,4,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f6d3ba6b6926e0f3f0eb89ac3525c9bd.jpg,,PT Tribuana Global Group,https://glints.com/id/companies/pt-tribuana-global-group/2fc07f62-62d7-474c-8f52-44f7d6d8dbf1,Pademangan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara/pademangan,Jakarta Utara,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,6 hari yang lalu,Rp 7 jt-9 jt
Full Stack Data Scientist,https://glints.com/id/opportunities/jobs/full-stack-data-scientist/a3b71624-9db5-47f5-9758-1c39398f7c7e?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),SQL,8,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/0e5b147f9275e1c2e477ea815a1a9488.png,https://glints.com/images/icons/vip-badge.svg,Skolla EdTech,https://glints.com/id/companies/skolla-edtech/f7c5ce57-165c-48c6-89c8-8f592c9904a9,Mampang Prapatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/mampang-prapatan,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,3 hari yang lalu,Rp 20 jt-25 jt
Data Analis Outsourcing,https://glints.com/id/opportunities/jobs/data-analis-outsourcing/9707c292-254e-4111-b314-87455c37ff4d?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),SQL,4,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/c3a5c5c4edf9f39de5a29ec7cc9e698f.png,,PT Solusi Kelola Pratama,https://glints.com/id/companies/pt-solusi-kelola-pratama/aefe2528-4372-45ba-9488-fbe0b8c7229d,Cisauk,https://glints.com/id/job-location/indonesia/banten/kab-tangerang/cisauk,Kab. Tangerang,https://glints.com/id/job-location/indonesia/banten/kab-tangerang,Banten,https://glints.com/id/job-location/indonesia/banten,8 hari yang lalu,Rp 4 jt-5 jt
Data Entry (Client Analyst),https://glints.com/id/opportunities/jobs/data-entry-client-analyst/d3ecc7f0-68b8-4891-9bb8-bca37e480691?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,Gaji Tidak Ditampilkan,Perusahaan Premium,Penuh Waktu,Kurang dari setahun,Minimal SMA/SMK,Microsoft Excel,8,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/4b8cd5455e273f91f02c4f0a71e8a641.png,https://glints.com/images/icons/vip-badge.svg,PT Traders Family International,https://glints.com/id/companies/pt-traders-family-international/b8e01eac-153d-4fb9-b2a0-24a9771eba4b,Tanjung Priok,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara/tanjung-priok,Jakarta Utara,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,16 hari yang lalu,
Data Scientist,https://glints.com/id/opportunities/jobs/data-scientist/fc6fdb3d-ce8e-4b46-8d1a-30cb4a3d6c43?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Machine Learning,5,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/0d85415934b22fc0f21dcac68ff399f9.jpeg,,PT Sarana Maju Lestari,https://glints.com/id/companies/pt-sarana-maju-lestari/2d0df757-700f-4b7c-b8e1-ab0ee6fccaa5,Gayungan,https://glints.com/id/job-location/indonesia/jawa-timur/surabaya/gayungan,Surabaya,https://glints.com/id/job-location/indonesia/jawa-timur/surabaya,Jawa Timur,https://glints.com/id/job-location/indonesia/jawa-timur,2 hari yang lalu,"Rp 6,5 jt-8 jt"
Staff Data Science,https://glints.com/id/opportunities/jobs/staff-data-science/7285655f-ddd5-4826-8214-d6e09e3175ab?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,,Penuh Waktu,Kurang dari setahun,Minimal Diploma (D1 - D4),Computer Science,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/591c421de3d981cba0d7e88a238c0311.jpeg,,PT Gelora Aksara Pratama,https://glints.com/id/companies/pt-gelora-aksara-pratama/1d562015-c8d4-4218-aa8e-c64f4a5f46ba,Ciracas,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur/ciracas,Jakarta Timur,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,28 hari yang lalu,"Rp 4,9 jt-5,5 jt"
Merchandiser Data Analyst,https://glints.com/id/opportunities/jobs/merchandiser-data-analyst/600894d4-64ac-4f97-bb7e-49f9d9206d40?utm_referrer=explore&traceInfo=27923443-9d27-462c-a263-d8aadcd30887,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Cekatan,13,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/407ac9ea572d93f40176d13f0bacd344.png,,CV. Pakis Jaya Garmindo,https://glints.com/id/companies/cv-pakis-jaya-garmindo/8d762e87-aff2-4d27-abb4-2798525551f6,Serengan,https://glints.com/id/job-location/indonesia/jawa-tengah/surakarta-solo/serengan,Surakarta,https://glints.com/id/job-location/indonesia/jawa-tengah/surakarta-solo,Jawa Tengah,https://glints.com/id/job-location/indonesia/jawa-tengah,23 hari yang lalu,"Rp 2,5 jt-3 jt"
