,Job_Title,Information,Company_Type,Job_Contract,Experience,Education,Required_Skills,Skills,Company,Location,City,Province,Job_Posting,Salary
0,Business analyst or Data Engineer,Gaji Tidak Ditampilkan,Perusahaan Premium,Kontrak,5 – 10 tahun,Minimal Sarjana (S1),Toefl,3,PT Pasti Makmur Abadi,Setiabudi,Jakarta Selatan,DKI Jakarta,Kemarin,
1,Real Time Data Analyst,,Perusahaan Premium,Penuh Waktu,Kurang dari setahun,Minimal Sarjana (S1),Teamwork,6,Gear Inc. Indonesia,Suko Manunggal,Surabaya,Jawa Timur,1 bulan yang lalu,"Rp 4,5 jt-6,5 jt"
2,Data Engineer,,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Linux System Administration,4,PT Sigma Global Teknologi,Kemayoran,Jakarta Pusat,DKI Jakarta,15 hari yang lalu,"Rp 6 jt-7,7 jt"
3,Part Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),ERP Software,4,PT Tribuana Global Group,Pademangan,Jakarta Utara,DKI Jakarta,6 hari yang lalu,Rp 7 jt-9 jt
4,Full Stack Data Scientist,,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),SQL,8,Skolla EdTech,Mampang Prapatan,Jakarta Selatan,DKI Jakarta,3 hari yang lalu,Rp 20 jt-25 jt
5,Data Analis Outsourcing,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),SQL,4,PT Solusi Kelola Pratama,Cisauk,Kab. Tangerang,Banten,8 hari yang lalu,Rp 4 jt-5 jt
6,Data Entry (Client Analyst),Gaji Tidak Ditampilkan,Perusahaan Premium,Penuh Waktu,Kurang dari setahun,Minimal SMA/SMK,Microsoft Excel,8,PT Traders Family International,Tanjung Priok,Jakarta Utara,DKI Jakarta,16 hari yang lalu,
7,Data Scientist,,,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Machine Learning,5,PT Sarana Maju Lestari,Gayungan,Surabaya,Jawa Timur,2 hari yang lalu,"Rp 6,5 jt-8 jt"
8,Staff Data Science,,,Penuh Waktu,Kurang dari setahun,Minimal Diploma (D1 - D4),Computer Science,3,PT Gelora Aksara Pratama,Ciracas,Jakarta Timur,DKI Jakarta,28 hari yang lalu,"Rp 4,9 jt-5,5 jt"
9,Merchandiser Data Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Cekatan,13,CV. Pakis Jaya Garmindo,Serengan,Surakarta,Jawa Tengah,23 hari yang lalu,"Rp 2,5 jt-3 jt"
10,Data Science Trainee,,Perusahaan Premium,Hybrid,Penuh Waktu,Kurang dari setahun,Minimal Sarjana (S1),7,PT. Algoritma Data Indonesia,Setiabudi,Jakarta Selatan,DKI Jakarta,8 hari yang lalu,Rp 6 jt-7 jt
11,Data Analist & Digital Media Officer,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),SQL,4,PT Digital Nayaka Abhinaya,Bekasi Selatan,Bekasi,Jawa Barat,15 hari yang lalu,Rp 5 jt-7 jt
12,System Analyst,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Agile Methodologies,4,PT Shell Infotek Indonesia (Shell Infotech),Menteng,Jakarta Pusat,DKI Jakarta,8 hari yang lalu,Rp 10 jt-12 jt
13,Data Engineer,Gaji Tidak Ditampilkan,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Data Engineering,5,Murni Development Indonesia,Tanah Abang,Jakarta Pusat,DKI Jakarta,8 hari yang lalu,
14,Data Engineer,Gaji Tidak Ditampilkan,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Diploma (D1 - D4),Data Migration,4,PT Avows Technologies,Cikarang Pusat,Kab. Bekasi,Jawa Barat,8 hari yang lalu,
15,Data Engineer,Gaji Tidak Ditampilkan,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Hadoop,5,PT Esha Parama Teknologi,Mampang Prapatan,Jakarta Selatan,DKI Jakarta,14 hari yang lalu,
16,System Analyst,Gaji Tidak Ditampilkan,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Oracle Database,4,PT. Mandiri International Technology,Pancoran,Jakarta Selatan,DKI Jakarta,9 hari yang lalu,
17,system analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Business Process Improvement,3,vitech asia,Cipayung,Jakarta Timur,DKI Jakarta,24 hari yang lalu,"Rp 4 jt-4,9 jt"
18,Analyst,,,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Mcse Mcsd,3,IDE Asia,Mampang Prapatan,Jakarta Selatan,DKI Jakarta,6 hari yang lalu,Rp 5 jt-15 jt
19,System Analyst,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),System Analysis,3,HiWork,Cakung,Jakarta Timur,DKI Jakarta,3 hari yang lalu,Rp 5 jt-7 jt
20,System Analyst,Gaji Tidak Ditampilkan,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),SDLC,3,PT Prima Vista Solusi,Setiabudi,Jakarta Selatan,DKI Jakarta,8 hari yang lalu,
21,Security Analyst,Gaji Tidak Ditampilkan,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal Diploma (D1 - D4),Information Security,3,PT Sigma Global Teknologi,Setiabudi,Jakarta Selatan,DKI Jakarta,24 hari yang lalu,
22,Data Scientist,,,Hybrid,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),3,JALA,Kapanewon Depok,Kab. Sleman,DI Yogyakarta,1 bulan yang lalu,Rp 7 jt-10 jt
23,Data Analyst (Muara Enim Area),,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Data Analytics,3,PT Cybertrend Intrabuana,Lawang Kidul,Kab. Muara Enim,Sumatera Selatan,21 hari yang lalu,Rp 5 jt-7 jt
24,Data Visualization,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Tableau,6,Indivara Teknologi Quantum,Taman Sari,Jakarta Barat,DKI Jakarta,5 hari yang lalu,Rp 8 jt-11 jt
